id,day,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.02,2014-03-16,2014-03-16 13:21:10.588235264,0.1680684149503257,18.7612203962704,31.79668486772487,88.392,0.0,0.0,0.0,17.97894642857143,8.061009523809524,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6,551.5769300670418,1.0
AS14.02,2014-03-17,2014-03-17 14:30:00.000000000,0.1680684149503257,6.734080756545042,50.844056635378514,350.1362222222222,0.0,0.0,0.0,13.265149999999998,12.746895833333332,0.0,0.0,0.0,0.0,2.0,0.5,0.5,7,1469.9591662498085,0.0
AS14.02,2014-03-18,2014-03-18 11:30:00.000000000,0.2194843842554375,26.41319476172898,32.19956944642659,29.647666666666662,0.0,0.0,0.0,17.744400000000002,14.59795625,0.0,0.0,0.0,0.0,4.0,0.6,0.8,8,493.32778585211446,1.0
AS14.02,2014-03-19,2014-03-19 11:30:00.000000000,0.3156317568506431,9.03863963873428,37.14871111490848,21.783485714285717,0.0,0.0,0.0,18.1176,10.0315,14.081421474358974,0.0,0.0,0.0,3.0,0.4,0.4,7,2555.3041838233285,1.0
AS14.02,2014-03-20,2014-03-20 11:30:00.000000000,0.2390249602103473,16.895729990530302,38.13671435897436,17.381714285714285,0.0,0.0,0.0,11.27965,15.12225,0.0,0.0,0.0,0.0,5.0,-0.5,0.75,7,722.6453283985937,1.0
AS14.02,2014-03-21,2014-03-21 11:30:00.000000000,0.2896279249001074,14.341067468650582,36.035060772560776,153.20133333333334,0.0,0.0,0.0,9.486,29.271244791666668,26.888329545454543,0.0,0.0,0.0,8.0,-0.75,0.75,8,2029.4195705544375,1.0
AS14.02,2014-03-22,2014-03-22 11:30:00.000000000,0.4460436868329013,10.26230731854145,19.28431683375105,35.21158333333333,0.0,0.0,0.0,10.801,11.092024941724942,25.98635926870748,0.0,0.0,0.0,8.0,-1.0,-0.5,6,618.2875477016993,1.0
AS14.02,2014-03-23,2014-03-23 10:17:08.571428608,0.2696971570335323,7.674073001675745,49.43621969696971,40.5484,0.0,0.0,0.0,15.46625,22.6897,19.16518484848485,0.0,0.0,0.0,4.0,-1.0,0.0,6,468.7246369965495,1.0
AS14.02,2014-03-24,2014-03-24 11:30:00.000000000,0.1561246625014999,9.687030790043291,42.908937878787874,10.689416666666666,0.0,0.0,0.0,16.3616,14.502222222222224,0.0,0.0,0.0,0.0,2.0,0.2,-0.2,6,286.05888225612404,0.0
AS14.02,2014-03-25,2014-03-25 11:30:00.000000000,0.2305136548564537,14.71169614535791,35.549216727716725,175.87241666666665,0.0,0.0,0.0,10.823625,10.113656249999998,0.0,0.0,0.0,0.0,4.0,-1.25,0.75,8,569.4700420658954,0.0
AS14.02,2014-03-26,2014-03-26 11:30:00.000000000,0.2939534624058421,10.73380154777498,29.837308015873017,27.89246794871795,0.0,0.0,0.0,8.39,48.63881845238095,0.0,0.0,0.0,0.0,3.0,-1.2,0.4,7,757.1786649077709,0.0
AS14.02,2014-03-27,2014-03-27 11:30:00.000000000,0.2288490089221509,26.733926464775635,31.036408226495727,35.75864285714286,0.0,0.0,0.0,9.2955,9.746666666666668,0.0,0.0,4.5945625,0.0,3.0,0.0,0.5,7,444.79311120340464,0.0
AS14.02,2014-03-28,2014-03-28 11:30:00.000000000,0.2615983280781395,9.382700773036488,17.896053068954853,30.7815,0.0,0.0,0.0,23.25464583333333,69.21998527236651,0.0,0.0,0.0,0.0,4.0,-0.6,0.6,7,657.5486973667973,1.0
AS14.02,2014-03-29,2014-03-29 11:30:00.000000000,0.432469355060395,55.89971435057998,46.92374871794872,178.39808333333335,0.0,0.0,0.0,15.238333333333337,65.61425,15.345947222222222,0.0,0.0,0.0,3.0,-0.75,0.25,7,545.7925779102384,0.0
AS14.02,2014-03-30,2014-03-30 11:54:46.956521728,0.2418873087939678,8.804827889139846,33.36618125,51.3634619047619,0.0,0.0,0.0,7.572219047619048,21.58151851851852,0.0,0.0,0.0,0.0,4.0,-1.0,0.75,7,454.9858167536329,1.0
AS14.02,2014-03-31,2014-03-31 11:30:00.000000000,0.1563729236642765,8.421332650560224,30.72644149262044,76.05045,0.0,0.0,0.0,12.5204,70.06029166666667,0.0,0.0,0.0,0.0,5.0,-0.8,0.4,7,794.2017704319733,1.0
AS14.02,2014-04-01,2014-04-01 11:30:00.000000000,0.2619605321890544,17.395360954410172,21.79957023809524,16.003083333333333,0.0,0.0,0.0,20.658305555555557,12.134792592592596,55.6,0.0,0.0,0.0,2.0,-0.2,0.8,7,300.35804724758054,1.0
