id,day,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,screen,sms,day_of_week,day_of_month,month,activity_lag_1,activity_lag_2,activity_lag_3,activity_lag_4,activity_lag_5,circumplex.arousal_lag_1,circumplex.arousal_lag_2,circumplex.arousal_lag_3,circumplex.arousal_lag_4,circumplex.arousal_lag_5,circumplex.valence_lag_1,circumplex.valence_lag_2,circumplex.valence_lag_3,circumplex.valence_lag_4,circumplex.valence_lag_5,mood_lag_1,mood_lag_2,mood_lag_3,mood_lag_4,mood_lag_5,mood
AS14.01,2014-02-26,2014-02-26 17:30:00.000000000,0.1340501039893886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.25,0.75,0.0,2.0,2,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
AS14.01,2014-04-13,2014-04-13 11:30:00.000000000,0.0140213289543707,6.467413768638768,49.92167063492063,46.94525,8.1215,0.0,0.0,10.502383333333333,17.250999999999998,0.0,0.0,0.0,0.0,0.0,-1.25,1.0,868.3663664817814,0.0,6,13,4,0.0722490614703181,0.0799862020730605,0.078963105194891,0.1203841145323287,0.0753270582613484,-0.75,-1.2,-0.4,-0.8,-0.4,0.75,0.8,0.8,1.0,0.3333333333333333,7.25,7.0,7.4,7.4,6.6,8.0
AS14.01,2014-04-02,2014-04-02 11:30:00.000000000,0.1019166106382234,12.13508205026681,33.40365884475917,43.29034444444445,12.059670833333334,0.0,90.481,23.974049107142857,73.6956956043956,0.0,0.0,18.105578571428573,0.0,2.0,0.3333333333333333,0.6666666666666666,1569.9251130769287,0.0,2,2,4,0.118443242712736,0.0705054808833895,0.049092970521542,0.0682028101018696,0.0956980216371201,0.2,0.0,-0.5,0.2,-0.6,0.0,0.6,0.75,1.0,0.6,6.0,7.4,7.5,8.0,6.4,6.5
AS14.01,2014-04-27,2014-04-27 10:30:00.000000000,0.0304789237989636,10.09184417989418,42.9328825,108.50166666666668,0.0,0.0,0.0,53.967416666666665,13.735,0.0,0.0,12.505944444444443,0.0,0.0,-0.125,1.0,1296.5093250661798,0.0,6,27,4,0.2142487716242349,0.1090610636368274,0.0509029881940343,0.0459856891337655,0.091929551822292,-0.2,-0.2,-0.4,0.2,0.2,1.0,0.8,1.0,1.0,1.0,7.6,7.2,7.6,7.6,7.4,7.5
AS14.01,2014-04-14,2014-04-14 11:30:00.000000000,0.0838873144698841,6.252019804318489,46.39606832247817,175.91630535714285,14.887166666666666,0.0,0.0,11.461527777777777,185.24652857142857,14.552,0.0,33.41704166666666,0.0,1.0,-1.2,0.6,3891.465697551441,1.0,0,14,4,0.0140213289543707,0.0722490614703181,0.0799862020730605,0.078963105194891,0.1203841145323287,-1.25,-0.75,-1.2,-0.4,-0.8,1.0,0.75,0.8,0.8,1.0,8.0,7.25,7.0,7.4,7.4,7.2
AS14.01,2014-04-01,2014-04-01 11:30:00.000000000,0.118443242712736,5.768496975541175,33.36429272151548,68.01600520833333,14.885854797979798,78.247,30.288,15.14875,44.85290478087076,109.0250777777778,0.0,17.030162037037037,0.0,1.0,0.2,0.0,1531.9091338675871,0.0,1,1,4,0.0705054808833895,0.049092970521542,0.0682028101018696,0.0956980216371201,0.1595106409690974,0.0,-0.5,0.2,-0.6,0.2,0.6,0.75,1.0,0.6,0.8,7.4,7.5,8.0,6.4,7.0,6.0
AS14.01,2014-04-15,2014-04-15 11:30:00.000000000,0.0901121527807252,7.084746574075371,40.56366006586581,78.59526851851852,4.347666666666666,0.0,0.0,14.23975,68.69691136363636,8.363,0.0,21.8082,0.0,1.0,0.0,0.8,1374.0681627268714,1.0,1,15,4,0.0838873144698841,0.0140213289543707,0.0722490614703181,0.0799862020730605,0.078963105194891,-1.2,-1.25,-0.75,-1.2,-0.4,0.6,1.0,0.75,0.8,0.8,7.2,8.0,7.25,7.0,7.4,6.4
AS14.01,2014-03-31,2014-03-31 11:30:00.000000000,0.0705054808833895,16.71991392436702,37.784263188608776,74.504575,6.875833333333333,51.176,0.0,21.663625,57.31582291666667,37.42616666666667,29.29,13.857229166666666,0.0,2.0,0.0,0.6,1503.3583475944297,0.0,0,31,3,0.049092970521542,0.0682028101018696,0.0956980216371201,0.1595106409690974,0.1013083216700759,-0.5,0.2,-0.6,0.2,-0.2,0.75,1.0,0.6,0.8,0.6,7.5,8.0,6.4,7.0,6.6,7.4
AS14.01,2014-03-30,2014-03-30 14:48:00.000000000,0.049092970521542,12.70365,111.82049479166668,251.77485,0.0,0.0,0.0,12.333833333333333,55.895,0.0,33.2385,38.296,0.0,0.0,-0.5,0.75,2100.555905200188,0.0,6,30,3,0.0682028101018696,0.0956980216371201,0.1595106409690974,0.1013083216700759,0.0983741123905067,0.2,-0.6,0.2,-0.2,0.5,1.0,0.6,0.8,0.6,0.5,8.0,6.4,7.0,6.6,6.75,7.5
AS14.01,2014-04-17,2014-04-17 11:30:00.000000000,0.0569178566720968,6.129658851410935,88.8616887454982,37.10183333333333,0.0,0.0,0.0,10.7526,63.89214285714286,0.0,0.0,16.572666666666667,0.0,1.0,-0.125,0.625,3137.091197954051,0.0,3,17,4,0.1161103361271222,0.0901121527807252,0.0838873144698841,0.0140213289543707,0.0722490614703181,0.75,0.0,-1.2,-1.25,-0.75,0.5,0.8,0.6,1.0,0.75,7.2,6.4,7.2,8.0,7.25,6.625
